"","Treatment","mean_pH","sd_pH","min_pH","max_pH","mean_Salinity","sd_Salinity","min_Salinity","max_Salinity","mean_Temperature","sd_Temperature","min_Temperature","max_Temperature","sd_Oxygen","min_Oxygen","max_Oxygen","mean_Oxygen_mgL","sd_Oxygen_mgL","min_Oxygen_mgL","max_Oxygen_mgL"
"1","Control",8.11396690886566,0.135216343938592,7.4965002070395,8.54,33.9884005376344,0.393719873362691,31.06,37.33,9.30576612903226,1.06856047322304,6.6,12.3,3.65568850035981,90.5,112.5,9.28280913978495,0.438134471908909,7.91,10.57
"2","Multi_HF",7.78215404509026,0.200242615763808,6.68078025578538,8.42797917774998,34.1726128170895,0.548324984285462,31.08,39.33,11.9510280373832,0.901421269641772,7.4,14.9,9.78694522073173,35.1,120.5,8.09125500667557,0.96322959728051,1.62,10.19
"3","pH1",7.81868163782694,0.181822738883799,6.79649669060368,8.37646266163105,34.0666151685393,0.251136775696321,32.94,34.58,8.94901685393258,0.902067723029007,7,13.8,2.94344636158187,85.4,107.8,9.24075280898876,0.347478950367497,7.59,10.07
"4","pH2",7.7408414009187,0.195755618331276,6.85059306137502,8.40008149613,34.0844382022472,0.280268043493717,33.01,37.63,8.73511235955056,0.836930792786677,6.4,13.1,2.84383680913972,85.1,107.8,9.29608146067416,0.343520630726267,7.53,10.25
"5","pH3",7.64851561616639,0.218837348635088,6.9461974453315,8.44130976550338,34.0715773353752,0.256718542450042,32.43,34.82,8.57687595712098,0.856230169223163,5.4,11.4,2.5372592024601,90.5,106.8,9.35961715160796,0.295715323561033,8.1,10.2
