"","ID","Sample","Time","Day","area_mm2","vol_mm3","SA_mm1","Scanning_Date","Treatment","Tank"
"45","SAMPLE-014-T0",14,"T0",1,98.1612484052576,7.64701887542052,12.8365380031653,2023-02-27,"Triple_Stressor",5
"46","SAMPLE-014-T1",14,"T1",85,86.1109232981017,7.08475094192106,12.1544037333163,2023-05-22,"Triple_Stressor",5
"47","SAMPLE-014-T2",14,"T2",134,72.3168015171866,6.82629877883219,10.5938523730364,2023-07-10,"Triple_Stressor",5
"48","SAMPLE-014-T3",14,"T3",183,71.2020992582109,6.82308269829961,10.4354735838033,2023-08-29,"Triple_Stressor",5
"49","SAMPLE-015-T0",15,"T0",1,60.7589502536322,2.54968742600725,23.8299603448958,2023-02-27,"Triple_Stressor",5
"50","SAMPLE-015-T1",15,"T1",85,53.2553150865492,2.19302705186034,24.2839298500093,2023-05-22,"Triple_Stressor",5
"51","SAMPLE-015-T2",15,"T2",134,40.2851816217331,1.95485689453573,20.6077394894426,2023-07-10,"Triple_Stressor",5
"52","SAMPLE-015-T3",15,"T3",183,39.7078893835834,1.92739619349075,20.6018303438006,2023-08-29,"Triple_Stressor",5
"53","SAMPLE-015-T4",15,"T4",274,43.9524839098195,1.74733255814322,25.1540462088826,2023-11-27,"Triple_Stressor",5
"54","SAMPLE-018-T0",18,"T0",1,66.9931276744611,4.30033929493693,15.5785678942442,2023-02-27,"Triple_Stressor",6
"55","SAMPLE-018-T1",18,"T1",85,62.3826701953071,4.03635949414122,15.4551818998916,2023-05-22,"Triple_Stressor",6
"56","SAMPLE-018-T2",18,"T2",134,52.9223127277317,3.8049557864063,13.9087851997659,2023-07-10,"Triple_Stressor",6
"57","SAMPLE-018-T3",18,"T3",183,43.2141602769655,2.80933604855449,15.3823392894563,2023-08-29,"Triple_Stressor",6
"58","SAMPLE-018-T4",18,"T4",274,43.7521093769719,2.56160098195578,17.0799861825346,2023-11-27,"Triple_Stressor",6
"59","SAMPLE-019-T0",19,"T0",1,143.909852260602,10.0697064294418,14.2913652219133,2023-02-27,"Triple_Stressor",6
"60","SAMPLE-019-T1",19,"T1",85,136.196567151677,9.55053119209949,14.2606274365496,2023-05-22,"Triple_Stressor",6
"61","SAMPLE-019-T2",19,"T2",134,114.237339204939,9.04005485251784,12.6367971288494,2023-07-10,"Triple_Stressor",6
"62","SAMPLE-019-T3",19,"T3",183,88.8562813211718,6.76184741176765,13.1408291122534,2023-08-29,"Triple_Stressor",6
"63","SAMPLE-019-T4",19,"T4",274,86.3699364308731,6.33688715796216,13.6297103416701,2023-11-27,"Triple_Stressor",6
"64","SAMPLE-019-T5",19,"T5",358,83.0110953915542,5.99842190292566,13.8388223994492,2024-02-19,"Triple_Stressor",6
"65","SAMPLE-021-T0",21,"T0",1,156.61830727073,9.18821649962088,17.0455612661273,2023-02-27,"pH1",10
"66","SAMPLE-021-T1",21,"T1",85,156.874416473539,8.67063590945662,18.0926079830482,2023-05-22,"pH1",10
"67","SAMPLE-021-T2",21,"T2",134,124.340214653463,8.10882055797694,15.333945764917,2023-07-10,"pH1",10
